Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000205542.6,-3.612087631596218,8.726357593283626e-45,44.05916699423623,TMSB4X
ENSG00000163466.11,-2.4397810343672104,1.325473978212224e-38,37.87762879394354,ARPC2
ENSG00000081237.14,-7.517770170839654,3.660100483193776e-30,29.436506991464185,PTPRC
ENSG00000081320.6,-4.738450257766486,4.796874757980499e-30,29.31904162041841,STK17B
ENSG00000196126.6,-5.192359661845486,1.083840650328051e-27,26.965034564449216,HLA-DRB1
ENSG00000204287.9,-4.19020140306832,5.782075479145388e-27,26.237916243353293,HLA-DRA
ENSG00000111348.4,-2.7046944805909003,1.930200937632642e-26,25.714397477747344,ARHGDIB
ENSG00000143119.8,-9.744433751045989,2.7623139563642197e-26,25.558726962336785,CD53
ENSG00000019582.10,-3.3287381494554023,3.188129121352307e-26,25.496464097704024,CD74
ENSG00000136167.9,-6.57404770577779,1.8455656242141723e-25,24.733870507646657,LCP1
ENSG00000116489.8,-1.747632393223716,2.1877130854872467e-25,24.66000963551968,CAPZA1
ENSG00000163565.14,-6.559341578690665,2.74426330276067e-25,24.561574221882903,IFI16
ENSG00000090104.7,-6.639388456055727,3.8276335914039166e-24,23.41706964269448,RGS1
ENSG00000162511.7,-6.916398268177515,6.5686266860309646e-24,23.182525419636853,LAPTM5
ENSG00000204257.10,-3.330005793576444,2.302734024327586e-23,22.637756222017376,HLA-DMA
ENSG00000204592.5,-2.590753150818042,4.234389108832613e-23,22.37320923605344,HLA-E
ENSG00000187653.10,-3.756052127548659,5.636431991654534e-23,22.24899572876317,TMSB4XP8
ENSG00000223551.1,-5.399631940976754,1.4922355915011723e-21,20.82616260580988,TMSB4XP4
ENSG00000138670.12,-5.7900837648525485,2.127792639277715e-21,20.67207069780811,RASGEF1B
ENSG00000112149.5,-11.001132553244874,4.67002561090016e-21,20.33068073771181,CD83
ENSG00000223865.6,-5.252806967756078,4.715532425320304e-21,20.326469264469765,HLA-DPB1
ENSG00000084207.11,-5.949788908774497,2.4724777010016908e-20,19.60686761656621,GSTP1
ENSG00000231389.3,-4.333924494148222,2.5475091369726095e-20,19.59388424966514,HLA-DPA1
ENSG00000187239.12,-4.065197219977918,2.817280369427796e-20,19.55016993085008,FNBP1
