Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000111348.4,-3.7128396121527993,8.676056759994486e-34,33.06167761543242,ARHGDIB
ENSG00000163466.11,-1.6631193407716385,6.718342062650586e-31,30.172737887940063,ARPC2
ENSG00000205542.6,-1.779591817454074,1.2209197267183695e-30,29.913312889199503,TMSB4X
SPIKE1,-1.4755925905847818,6.513524848281717e-30,29.186183925736728,EC2
ENSG00000019582.10,-4.834529901927611,1.904130869784353e-29,28.720303206123816,CD74
ENSG00000196126.6,-5.110730843983278,1.2762996691387791e-27,26.894047343347225,HLA-DRB1
ENSG00000081237.14,-3.4954793677063742,1.141939245685138e-26,25.94235700113883,PTPRC
ENSG00000204287.9,-4.081350760054557,1.596131154619337e-26,25.79693142539933,HLA-DRA
ENSG00000166710.13,-2.0800807039170124,6.350182163524091e-26,25.197213816207466,B2M
ENSG00000143119.8,-5.906956498686711,1.2758369559369547e-25,24.89420482221453,CD53
ENSG00000204257.10,-3.923128700526069,1.3989075441756772e-25,24.854210987710587,HLA-DMA
ENSG00000136167.9,-5.291006827983527,6.873029991002685e-25,24.162851761008945,LCP1
ENSG00000090104.7,-7.733048126856095,2.0559236854674165e-24,23.68699301010259,RGS1
ENSG00000162511.7,-7.000331070250446,5.797387991695087e-24,23.236767633385732,LAPTM5
SPIKE2,-1.3478648154081014,6.4019677723495636e-24,23.19368651643462,EC15
ENSG00000163565.14,-4.173321742193089,1.5873255535286878e-23,22.79933399221097,IFI16
ENSG00000204592.5,-2.4759056627764915,2.872981065017102e-23,22.541667236307283,HLA-E
ENSG00000213741.4,-0.962473555604184,4.9114238178145544e-21,20.30879258800311,RPS29
ENSG00000231389.3,-4.819114477700672,7.450968874820343e-21,20.127787250791386,HLA-DPA1
ENSG00000112149.5,-7.111239018494745,7.566004769895543e-21,20.12113338924752,CD83
ENSG00000136527.13,-2.0941416272783737,9.299645716507e-21,20.031533596209165,TRA2B
ENSG00000223865.6,-4.740882006015461,1.1378739414660201e-20,19.94390584827321,HLA-DPB1
ENSG00000128340.10,-6.113994613770744,4.3431178272156673e-20,19.362198388225742,RAC2
ENSG00000198502.5,-7.492086299843624,1.3362140439556402e-19,18.874123968010856,HLA-DRB5
ENSG00000013441.11,-1.9519173702381911,2.0985286711331048e-19,18.678085092866677,CLK1
ENSG00000169442.4,-5.00743619320597,2.5565516082923664e-19,18.59234543588469,CD52
ENSG00000147065.12,-3.940071915182094,3.4807463603802015e-19,18.458327622306232,MSN
ENSG00000130755.8,-6.01337250737507,4.665497960405294e-19,18.331101996094382,GMFG
ENSG00000158985.9,-2.382168254061484,4.689522114453049e-19,18.328871411790352,CDC42SE2
ENSG00000196735.7,-6.084243486052639,5.19362629261744e-19,18.28452930324216,HLA-DQA1
ENSG00000138670.12,-3.48814444768493,7.61876935122577e-19,18.11811517395372,RASGEF1B
ENSG00000120690.9,-2.8751738303948957,1.192364459059479e-18,17.92359097751058,ELF1
ENSG00000147168.8,-4.566182552321535,1.2669299262531116e-18,17.897247405229578,IL2RG
ENSG00000115165.5,-4.71507395584063,1.4994541807111177e-18,17.82406680057358,CYTIP
ENSG00000081320.6,-1.810277514206952,1.9051611353557484e-18,17.72006828653096,STK17B
ENSG00000122862.4,-5.07459356040812,1.955857465378872e-18,17.708662797940523,SRGN
ENSG00000069493.10,-3.886707581614656,2.2184857510640595e-18,17.653943356334004,CLEC2D
ENSG00000247774.2,-5.204265122388545,2.3505709015413005e-18,17.62882664441883,PCED1B-AS1
ENSG00000273319.1,-2.250483686594632,2.828414352034685e-18,17.548456967710877,RP11-138A9.2
ENSG00000255594.1,-6.117668673727183,2.8554156050748805e-18,17.544330671357002,Z82188.1
ENSG00000187239.12,-2.901109663844329,3.696621322629369e-18,17.432195035744343,FNBP1
ENSG00000179344.12,-4.522467837277,6.086202838390726e-18,17.215653577754082,HLA-DQB1
ENSG00000081189.9,-7.804905235309195,8.993373880721734e-18,17.04607735132588,MEF2C
ENSG00000234745.5,-1.650167152652383,1.0995202268421359e-17,16.958796776921538,HLA-B
ENSG00000121966.6,-4.11015208384259,1.8021817003138816e-17,16.74420142453036,CXCR4
ENSG00000152601.13,-2.43140927571656,1.9575492953231957e-17,16.70828729265838,MBNL1
ENSG00000142669.9,-1.9039157919838607,2.057852289108019e-17,16.686585801744414,SH3BGRL3
ENSG00000116741.6,-5.453066693156154,4.1083126962797055e-17,16.3863365083317,RGS2
ENSG00000141682.11,-3.993895290253852,6.813992342269696e-17,16.166598358838566,PMAIP1
ENSG00000242574.4,-4.529857573062547,1.8352962644146319e-16,15.736293819360183,HLA-DMB
ENSG00000177954.7,-0.7955053388096331,4.611175091771879e-16,15.33618838679238,RPS27
