Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000010278.7,3.992999912153822,5.55245054471684e-40,39.25551530099241,CD9
ENSG00000141741.7,5.047857048619084,8.906411228430297e-37,36.05029725641848,MIEN1
ENSG00000125868.11,2.9151900291477717,1.0212247715336585e-36,35.990878659192994,DSTN
ENSG00000188895.7,3.913449737767946,6.610716434400998e-36,35.179751471430194,MSL1
ENSG00000085733.11,3.862481958481311,9.103461748676464e-34,33.04079342828756,CTTN
ENSG00000143320.4,4.452476951448337,3.6926919893578557e-32,31.432656915717807,CRABP2
ENSG00000198804.2,1.4892737169248775,1.2337875102644516e-31,30.90875963046964,MT-CO1
ENSG00000141736.9,6.315143628498544,2.0864038914573417e-31,30.680601615922832,ERBB2
ENSG00000117335.14,2.207267423868881,6.829797387650162e-31,30.165592179880797,CD46
ENSG00000198938.2,1.5471185188528231,7.246387331340275e-31,30.139878455925555,MT-CO3
ENSG00000213853.5,3.517637301240107,1.0946762578659626e-30,29.960714301107814,EMP2
ENSG00000198763.3,2.110687646303923,3.4801729934476885e-30,29.458399167480888,MT-ND2
ENSG00000198727.2,1.74705447840741,9.38041177744694e-30,29.027778096722454,MT-CYB
ENSG00000120549.11,4.379110922661011,1.2296501201309204e-29,28.910218443448557,KIAA1217
ENSG00000267795.1,4.504092366494895,1.8143114139867468e-29,28.741288167238217,SMIM22
ENSG00000213639.5,1.4032268324894217,4.1452984561866936e-29,28.382444195340803,PPP1CB
ENSG00000119888.6,5.481766292589858,5.745493759831224e-28,27.24067264270144,EPCAM
ENSG00000227184.3,5.9351102643997375,6.592310279109268e-28,27.180962359967832,EPPK1
ENSG00000181588.15,5.179637416278013,1.9176287421366514e-27,26.71723546955753,MEX3D
ENSG00000170027.5,2.404870425676884,2.1065534390569238e-27,26.676427519213057,YWHAG
ENSG00000267576.1,5.332803179278688,7.02550809311429e-27,26.153322261592795,CTC-510F12.6
ENSG00000171475.9,3.313434500070377,9.116362634646977e-27,26.040178407592837,WIPF2
ENSG00000146386.7,2.287863758852694,2.007578745279503e-26,25.69732741094609,ABRACL
ENSG00000172057.5,4.901596397802408,2.837226442299881e-26,25.54710600127965,ORMDL3
ENSG00000105514.3,5.90181887779159,4.235493817845959e-26,25.37309594782136,RAB3D
ENSG00000104447.7,3.261206240204137,9.20905535232215e-26,25.035784916634285,TRPS1
ENSG00000198840.2,1.834185787124392,9.218651090405124e-26,25.035332621988843,MT-ND3
ENSG00000112379.8,6.484239078310347,9.549030416752601e-26,25.02004072328864,KIAA1244
ENSG00000167642.8,2.4596801488822457,1.539320401512488e-25,24.812670974628343,SPINT2
ENSG00000196586.9,4.039536801693297,3.3037899389595154e-25,24.480987573715733,MYO6
ENSG00000185630.14,5.964132871476931,3.429590398767717e-25,24.464757745315023,PBX1
ENSG00000096092.5,2.559693725496186,7.2695590969234365e-25,24.13849192856047,TMEM14A
ENSG00000198899.2,1.625966949491172,2.3763100698504893e-24,23.62409689162051,MT-ATP6
ENSG00000087510.5,4.412300088061048,3.835035092456188e-24,23.416230657688832,TFAP2C
ENSG00000189241.6,1.8336132011637192,4.18275220185132e-24,23.378537863498813,TSPYL1
ENSG00000180992.5,2.4112592747829487,7.476885464237074e-24,23.12627927210587,MRPL14
ENSG00000174100.5,4.366928539406891,8.366812044930697e-24,23.07743998705185,MRPL45
ENSG00000129514.4,6.777160173906176,9.163099352846879e-24,23.037957604479487,FOXA1
ENSG00000104413.11,6.149593954621001,9.58435091404629e-24,23.018437293739822,ESRP1
ENSG00000142949.12,3.833733895048408,9.665521676102616e-24,23.01477470087614,PTPRF
ENSG00000135373.8,5.400219029021437,3.573514426286653e-23,22.44690446031137,EHF
ENSG00000108294.4,3.386121645934006,5.38981896317341e-23,22.26842582194039,PSMB3
ENSG00000146425.6,2.044085308530644,5.977940368261226e-23,22.223448421492165,DYNLT1
ENSG00000051620.6,3.6680583022306834,7.836940720483718e-23,22.105853438272806,HEBP2
ENSG00000122642.6,3.942488054022091,8.014959612790684e-23,22.09609866170489,FKBP9
