Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000111348.4,-2.9025414936353418,4.0356007144979366e-29,28.394091809746453,ARHGDIB
ENSG00000163466.11,-1.7203375279216804,3.454081311872766e-27,26.461667443004227,ARPC2
ENSG00000019582.10,-3.637563567391206,5.0191135628313576e-27,26.299372977828,CD74
ENSG00000196126.6,-3.8761267607238334,1.569901292955855e-25,24.804127652859695,HLA-DRB1
ENSG00000143119.8,-4.873829631810471,5.98841818920758e-25,24.222687879183415,CD53
ENSG00000205542.6,-1.8395372722015664,6.525756349143399e-24,23.18536914541145,TMSB4X
ENSG00000204287.9,-3.345185229805498,6.802597274745371e-24,23.167325239245656,HLA-DRA
ENSG00000162511.7,-5.920707536538259,1.2353826720373001e-23,22.908198494540628,LAPTM5
ENSG00000136167.9,-4.16635192983496,1.6289686718057958e-23,22.788087267927647,LCP1
ENSG00000090104.7,-4.904820474560623,2.8994754061106404e-23,22.537680570666662,RGS1
ENSG00000081237.14,-3.2704755027426358,3.356585923968146e-22,21.47410223099728,PTPRC
ENSG00000204257.10,-3.1670599371140264,5.417507919849854e-22,21.266200445112972,HLA-DMA
ENSG00000150867.9,-3.2745692188422195,2.48541358987104e-21,20.6046013313359,PIP4K2A
ENSG00000166710.13,-1.8185937460492827,8.712713645063081e-20,19.05984655939788,B2M
ENSG00000112149.5,-4.659199326822687,1.5984451549997818e-19,18.796302260417992,CD83
ENSG00000128340.10,-4.615950910059228,4.1447440492758747e-19,18.382502283308938,RAC2
ENSG00000231389.3,-3.730334048096511,1.5857815741792996e-18,17.79975663269397,HLA-DPA1
ENSG00000223865.6,-3.385202131356106,4.406633022169797e-18,17.35589311538134,HLA-DPB1
ENSG00000069493.10,-3.791879164215533,7.306571665840167e-18,17.13628635161394,CLEC2D
ENSG00000196735.7,-4.222242990533129,1.1947999804196514e-17,16.922704793185115,HLA-DQA1
ENSG00000204592.5,-1.9330115643136128,4.126578578414384e-17,16.384409880629313,HLA-E
ENSG00000198502.5,-3.800396832955882,6.221029849503828e-17,16.206137714837414,HLA-DRB5
ENSG00000242574.4,-4.926975145652904,1.2471725586594086e-16,15.9040734534269,HLA-DMB
ENSG00000081189.9,-4.54413738852106,1.3555315318920234e-16,15.867890375562334,MEF2C
ENSG00000255594.1,-3.919039975727532,1.4768465262632924e-16,15.83066463418035,Z82188.1
ENSG00000179344.12,-3.446413723424146,4.08451693457468e-16,15.388859298997891,HLA-DQB1
ENSG00000109971.9,-1.5645570883866622,4.914689322383561e-16,15.308503930494911,HSPA8
ENSG00000187653.10,-2.0244495225457784,7.650411160450837e-16,15.116315223680822,TMSB4XP8
ENSG00000169442.4,-3.198246430492717,1.267718552243773e-15,14.896977154005404,CD52
ENSG00000081320.6,-2.061745098735537,1.4235444220728676e-15,14.846628976033635,STK17B
ENSG00000115956.9,-5.253181366872546,2.1939955817317384e-15,14.658764251342646,PLEK
ENSG00000170542.5,-4.048340737588952,2.688014487945452e-15,14.570568394837778,SERPINB9
ENSG00000121966.6,-3.205238408554039,2.9108319770448648e-15,14.5359828627674,CXCR4
ENSG00000115165.5,-3.3194516451999068,2.9424125766113687e-15,14.53129643181819,CYTIP
ENSG00000273319.1,-1.9138983759289545,4.241122498923591e-15,14.372519183367162,RP11-138A9.2
ENSG00000130755.8,-3.5985107857438257,1.5175245927266345e-14,13.81886426209855,GMFG
ENSG00000156738.13,-6.233659524778182,1.51935960784094e-14,13.81833942349246,MS4A1
ENSG00000196628.9,-4.238818080858202,1.6390458905120262e-14,13.785408886748511,TCF4
ENSG00000187239.12,-2.535103939473492,3.0670545791635663e-14,13.513278495547134,FNBP1
ENSG00000116489.8,-1.137719173593398,3.139419005578133e-14,13.503150716900656,CAPZA1
ENSG00000118308.10,-8.291870981101052,1.0336778383515021e-13,12.985614794730456,LRMP
ENSG00000213443.2,-3.4981358979206387,1.2351858966780578e-13,12.908267675743655,RP11-75L1.2
ENSG00000110031.8,-3.699283230779834,1.5585666448754456e-13,12.807274622400406,LPXN
ENSG00000122862.4,-2.772137431199871,3.2728975952050753e-13,12.48506758300031,SRGN
SPIKE1,-0.9360502290618946,5.828226585965147e-13,12.234463572358216,EC2
ENSG00000147168.8,-2.809463890787565,6.135568449392324e-13,12.21214519446954,IL2RG
ENSG00000145779.7,-3.078753678427698,6.49335765957328e-13,12.187530675164954,TNFAIP8
ENSG00000174485.10,-3.0357442088579623,9.447788126604771e-13,12.024669854649217,DENND4A
ENSG00000155629.10,-7.720805655494285,9.469352331793676e-13,12.02367972409568,PIK3AP1
ENSG00000107099.11,-3.94495207939236,1.0568592173523798e-12,11.975982860563043,DOCK8
ENSG00000140968.6,-4.583468639564153,2.2012117317961844e-12,11.657338181195804,IRF8
ENSG00000114978.13,-1.706724886770985,2.203969427215007e-12,11.656794434177744,MOB1A
ENSG00000259924.1,-2.484537278676486,2.9382451641205453e-12,11.531911969954008,RP11-16E23.4
ENSG00000110848.4,-3.700002681619811,3.373668527539248e-12,11.471897590310157,CD69
ENSG00000158985.9,-1.685314635338579,3.800036424797723e-12,11.420212240485077,CDC42SE2
ENSG00000119397.12,-3.603027830936017,4.3071457501561015e-12,11.365810431832122,CNTRL
ENSG00000172183.10,-2.7628755924073065,4.310998375779142e-12,11.365422140771788,ISG20
ENSG00000152689.13,-4.774592240131575,4.326288453397247e-12,11.36388452753624,RASGRP3
ENSG00000120690.9,-2.0446500373376075,4.360429768757102e-12,11.360470704079722,ELF1
ENSG00000079263.14,-5.822386674982698,6.4662397516271535e-12,11.18934819689762,SP140
ENSG00000004468.8,-8.827104564447573,6.693637289702401e-12,11.174337824596792,CD38
ENSG00000116741.6,-2.695845787886647,7.333022590121454e-12,11.134716977114032,RGS2
ENSG00000139725.3,-3.381074301463669,8.094206380237441e-12,11.091825726475756,RHOF
ENSG00000138670.12,-1.7456962973504495,1.0091912827357764e-11,10.99602650951802,RASGEF1B
ENSG00000111229.11,-1.2623776607710298,1.0682342065426894e-11,10.971333519350516,ARPC3
ENSG00000172081.9,-3.318449976795048,1.1097972263054488e-11,10.95475636494422,MOB3A
SPIKE2,-0.962913815013346,1.3320142889973378e-11,10.875491116307302,EC15
ENSG00000168421.8,-3.5509251030997864,1.6819687449912544e-11,10.77418207869503,RHOH
ENSG00000035720.3,-6.828308276830365,2.097240835769957e-11,10.678351694646617,STAP1
ENSG00000105639.14,-3.0520813106074467,2.406185788958615e-11,10.618670842497256,JAK3
ENSG00000115935.12,-3.018518577002262,2.4973747472530008e-11,10.602516284059313,WIPF1
ENSG00000174444.10,-0.972781938994391,4.1396469177225215e-11,10.383036699512932,RPL4
ENSG00000247774.2,-2.868223648610268,4.1608463272661416e-11,10.380818323729466,PCED1B-AS1
ENSG00000132185.12,-10.203940642513786,4.4231919835953007e-11,10.354264210165423,FCRLA
ENSG00000149781.8,-5.812511011479895,6.139355956551043e-11,10.211877185729604,FERMT3
ENSG00000077420.11,-4.804247183096519,6.346325463491176e-11,10.197477659406452,APBB1IP
ENSG00000113580.10,-2.673042114916017,7.276254742938606e-11,10.138092104617368,NR3C1
