Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000096696.9,4.170200707120537,1.9000630781437137e-12,11.721231981134004,DSP
ENSG00000143198.8,2.997307288116163,6.000742211954904e-12,11.221795029846174,MGST3
ENSG00000008394.8,4.256685941430901,6.390554246560039e-12,11.194461474269731,MGST1
ENSG00000181588.15,4.796551061976507,1.6393457022247203e-11,10.785329453545302,MEX3D
ENSG00000143217.7,4.675143287291688,2.097037576282981e-11,10.678393787452569,PVRL4
ENSG00000178980.10,2.168902382295234,2.8820834882846663e-11,10.540293442683668,SEPW1
ENSG00000112378.11,4.396088689380788,3.000436627259509e-11,10.522815541609816,PERP
ENSG00000115310.13,2.074727985647709,4.809211095146463e-11,10.317926159618812,RTN4
ENSG00000198886.2,1.3620059288723123,5.470677319241682e-11,10.261958900760025,MT-ND4
ENSG00000163479.9,1.7058425677112885,7.710879289210471e-11,10.112896095531598,SSR2
ENSG00000051620.6,4.354823880853209,1.5905089753540747e-10,9.79846387579538,HEBP2
ENSG00000010278.7,3.1608590308694677,1.6640651157376626e-10,9.77882968354274,CD9
ENSG00000117335.14,2.1116969821996854,1.971845826466132e-10,9.705127044431588,CD46
ENSG00000124766.4,4.240428988711328,1.97265662513812e-10,9.704948504603838,SOX4
ENSG00000154380.12,4.783301505408925,2.1587327089498894e-10,9.665801128029106,ENAH
ENSG00000125868.11,2.287592871283513,2.404367488177474e-10,9.618999153187442,DSTN
ENSG00000142949.12,4.592219188192177,3.986465293271235e-10,9.399412012583142,PTPRF
ENSG00000198888.2,1.2920230620046969,6.133787210290561e-10,9.212271294378896,MT-ND1
ENSG00000198938.2,1.2694308021902303,6.542569596360827e-10,9.184251648870775,MT-CO3
ENSG00000135373.8,5.657297863416093,7.624579254313801e-10,9.117784116908576,EHF
ENSG00000166681.9,3.4014925005199057,9.339919215427343e-10,9.02965688013456,NGFRAP1
ENSG00000130396.16,3.275641919525799,9.49771226693545e-10,9.02238099150016,MLLT4
ENSG00000132698.9,4.816896955373067,9.824340604829372e-10,9.007696589175865,RAB25
ENSG00000182899.10,0.8720463069346334,1.336164066126771e-09,8.874140212041008,RPL35A
ENSG00000127922.5,1.2027365243147328,1.3493164557293095e-09,8.8698861831232,SHFM1
ENSG00000147862.10,3.9589841642596015,1.9161176239199477e-09,8.717577834583455,NFIB
ENSG00000135480.10,3.6534866036347946,3.581914541579698e-09,8.44588477989489,KRT7
ENSG00000125398.5,5.490679083968576,3.871145563752043e-09,8.412160497927829,SOX9
ENSG00000133142.13,3.0882379750287705,4.758695751561782e-09,8.322512061043174,TCEAL4
ENSG00000119280.12,3.6577729544975055,4.821630360168405e-09,8.316806086926718,C1orf198
ENSG00000089356.12,5.233834280510372,5.386453956149312e-09,8.268697048187269,FXYD3
ENSG00000087510.5,4.572773944512895,6.255612620113545e-09,8.203730152875963,TFAP2C
ENSG00000215845.6,1.97319462582214,6.844378554598516e-09,8.16466597814516,TSTD1
ENSG00000185275.6,4.04311258996926,7.306220077358745e-09,8.1363072501445,CD24P4
ENSG00000198763.3,1.2289044076589877,7.332965850461185e-09,8.134720337504158,MT-ND2
ENSG00000166145.10,4.28593940152091,7.664556194393398e-09,8.115512987307469,SPINT1
ENSG00000171345.9,4.015364496980989,8.194967278589834e-09,8.0864527761699,KRT19
ENSG00000169242.7,4.551488029203295,1.0198772679430956e-08,7.991452088102897,EFNA1
ENSG00000170421.7,3.6496408043966486,1.0475337408304612e-08,7.979831979607023,KRT8
ENSG00000136240.5,2.585000457515936,1.0667659041595871e-08,7.971930873627066,KDELR2
ENSG00000232941.1,2.5481968236388512,1.1129755697146603e-08,7.953514368508562,AC090186.1
ENSG00000151914.13,3.003703958684871,1.1194124902254856e-08,7.951009851613903,DST
ENSG00000184292.5,6.28147872068153,1.3110928297669148e-08,7.882366557716278,TACSTD2
ENSG00000159377.6,1.102804935660334,1.653047628885989e-08,7.781714633019983,PSMB4
ENSG00000185499.12,5.763694273159622,2.6492175061723343e-08,7.576882383774279,MUC1
ENSG00000163463.7,1.6310052251308207,2.8156057198989668e-08,7.550428161199278,KRTCAP2
ENSG00000189143.8,5.122450715192786,2.908537238915964e-08,7.536325371421335,CLDN4
ENSG00000065361.10,4.676912082099679,3.0448564306804734e-08,7.516433180152024,ERBB3
ENSG00000101856.8,3.8565938249214207,3.1440381604174104e-08,7.502512191399127,PGRMC1
ENSG00000162909.13,3.3383912557411604,3.156978424733976e-08,7.500728386131539,CAPN2
ENSG00000068697.6,1.6915733757557891,3.662913731866162e-08,7.436173309622564,LAPTM4A
ENSG00000152894.10,4.425708188149529,3.664345985650177e-08,7.436003527208132,PTPRK
ENSG00000104413.11,6.353979667857268,3.7746013851012844e-08,7.42312890506566,ESRP1
ENSG00000182004.8,1.3649091783981442,4.357072427075325e-08,7.360805220780858,SNRPE
ENSG00000176887.5,5.058828229068096,4.76330138477168e-08,7.322091938832239,SOX11
ENSG00000182670.9,1.812265268061374,4.775084033026266e-08,7.321018981198878,TTC3
ENSG00000180879.9,1.4177723775146769,4.7907351345540456e-08,7.319597839323735,SSR4
ENSG00000196586.9,3.8158587449512034,4.886832409910235e-08,7.310972554505533,MYO6
ENSG00000116586.7,1.7559555671084135,5.306693565943057e-08,7.275175989902618,LAMTOR2
ENSG00000143153.8,3.913705128272724,6.577556006593107e-08,7.1819354452945925,ATP1B1
ENSG00000245532.4,2.7368890374006947,7.905566956357858e-08,7.102066978712379,NEAT1
ENSG00000251562.3,1.564534081761071,8.13637014894456e-08,7.08956930222058,MALAT1
